08:05:53.303 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Processing doc: 100%25renewableenergy.txt
08:05:53.306 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Doc length = 3522
08:05:53.306 [main] INFO  n.i.a.task01.relevencemodels.BM25 - ni = 433
08:05:53.306 [main] INFO  n.i.a.task01.relevencemodels.BM25 - N = 996
08:05:53.306 [main] INFO  n.i.a.task01.relevencemodels.BM25 - qfi = 1
08:05:53.306 [main] INFO  n.i.a.task01.relevencemodels.BM25 - fi = 11
08:05:53.307 [main] INFO  n.i.a.task01.relevencemodels.BM25 - K = 1.4235245363458913
08:05:53.307 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term1 = 1.2998846597462514
08:05:53.307 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term2 = 1.9479174310962408
08:05:53.307 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term3 = 1.0
08:05:53.307 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Multiplication = 2.532067987134329
08:05:53.307 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Score = 0.9290363550803415
08:05:53.307 [main] INFO  n.i.a.task01.relevencemodels.BM25 - bm25Score: 0.9290363550803415
08:05:53.307 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Processing doc: 1973oilcrisis.txt
08:05:53.308 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Doc length = 5326
08:05:53.308 [main] INFO  n.i.a.task01.relevencemodels.BM25 - ni = 433
08:05:53.308 [main] INFO  n.i.a.task01.relevencemodels.BM25 - N = 996
08:05:53.308 [main] INFO  n.i.a.task01.relevencemodels.BM25 - qfi = 1
08:05:53.308 [main] INFO  n.i.a.task01.relevencemodels.BM25 - fi = 3
08:05:53.308 [main] INFO  n.i.a.task01.relevencemodels.BM25 - K = 1.9990038843209024
08:05:53.308 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term1 = 1.2998846597462514
08:05:53.308 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term2 = 1.3202630269403337
08:05:53.308 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term3 = 1.0
08:05:53.308 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Multiplication = 1.7161896555498917
08:05:53.308 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Score = 0.5401065168408985
08:05:53.308 [main] INFO  n.i.a.task01.relevencemodels.BM25 - bm25Score: 0.5401065168408985
08:05:53.308 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Processing doc: 1979energycrisis.txt
08:05:53.309 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Doc length = 2097
08:05:53.309 [main] INFO  n.i.a.task01.relevencemodels.BM25 - ni = 433
08:05:53.309 [main] INFO  n.i.a.task01.relevencemodels.BM25 - N = 996
08:05:53.309 [main] INFO  n.i.a.task01.relevencemodels.BM25 - qfi = 1
08:05:53.309 [main] INFO  n.i.a.task01.relevencemodels.BM25 - fi = 2
08:05:53.309 [main] INFO  n.i.a.task01.relevencemodels.BM25 - K = 0.9689468917425708
08:05:53.309 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term1 = 1.2998846597462514
08:05:53.309 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term2 = 1.4820069743374555
08:05:53.309 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term3 = 1.0
08:05:53.309 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Multiplication = 1.926438131578215
08:05:53.309 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Score = 0.6556727701527281
08:05:53.309 [main] INFO  n.i.a.task01.relevencemodels.BM25 - bm25Score: 0.6556727701527281
